Mp (Mj), Rp (Rj), Mdots (g/s), Rsp (Rp), RXUV (Rp), cond
2.05347e+29,1.94533e+09,2.86e+10,0.37,3.89,1.10,0
7.36999e+29,1.44465e+10,3.57e+12,0.32,1.79,1.21,0
1.80059e+29,7.30297e+09,2.31e+12,0.33,2.83,1.61,0
7.89872e+29,1.21504e+10,1.94e+12,0.35,1.93,1.15,0
4.53879e+29,1.44465e+10,5.91e+12,0.33,2.39,1.46,0
2.20878e+29,5.51709e+09,8.27e+11,0.33,2.02,1.28,0
2.16382e+29,4.24146e+09,4.52e+11,0.33,1.93,1.20,0
1.11219e+30,1.34260e+10,1.99e+12,0.36,1.89,1.11,0
2.80703e+29,1.13850e+10,6.85e+12,0.33,3.30,1.80,0
1.77651e+30,1.03645e+10,3.70e+11,0.30,3.23,1.42,0
5.90849e+29,9.08884e+09,1.20e+12,0.35,1.96,1.15,0
3.75241e+29,5.77221e+09,5.70e+11,0.36,2.03,1.16,0
1.61148e+29,1.94533e+09,8.28e+10,0.34,2.34,1.12,0
2.54238e+30,1.16401e+10,2.13e+11,0.30,3.71,1.42,0
3.73724e+29,1.18952e+10,3.84e+12,0.33,2.24,1.41,0
3.65709e+29,1.16401e+10,3.68e+12,0.33,2.24,1.41,0
6.24020e+29,9.59910e+09,1.31e+12,0.35,1.95,1.15,0
4.20896e+29,2.45558e+09,2.13e+10,0.30,7.25,1.42,0
1.67478e+29,6.79272e+09,2.07e+12,0.33,2.86,1.63,0
3.69168e+29,1.69021e+09,2.94e+09,0.30,12.98,1.42,0
1.06992e+30,1.29157e+10,1.86e+12,0.36,1.91,1.11,0
3.57693e+29,1.13850e+10,3.52e+12,0.33,2.24,1.41,0
2.24091e+29,9.08884e+09,3.67e+12,0.33,2.98,1.66,0
1.92639e+29,7.81322e+09,2.63e+12,0.33,2.85,1.62,0
1.90351e+29,3.73121e+09,3.74e+11,0.33,1.96,1.22,0
5.83831e+29,7.04784e+09,6.76e+11,0.36,2.06,1.12,0
7.06946e+29,1.08747e+10,1.61e+12,0.35,1.94,1.15,0
3.33231e+29,8.32347e+09,1.65e+12,0.33,1.96,1.28,0
2.61668e+29,1.94533e+09,3.18e+10,0.30,5.05,1.42,0
2.85553e+29,9.08884e+09,2.37e+12,0.33,2.24,1.40,0
1.41274e+29,4.49659e+09,7.55e+11,0.33,2.37,1.42,0
2.93569e+29,9.34397e+09,2.50e+12,0.33,2.24,1.40,0
8.16307e+29,9.85422e+09,1.19e+12,0.36,1.99,1.12,0
1.19672e+30,1.44465e+10,2.25e+12,0.36,1.87,1.11,0
6.40605e+29,9.85422e+09,1.37e+12,0.35,1.95,1.15,0
1.17227e+29,3.73121e+09,5.57e+11,0.33,2.41,1.41,0
1.76225e+30,8.06834e+09,9.16e+10,0.30,4.68,1.42,0
1.25176e+30,7.30297e+09,1.82e+11,0.30,3.91,1.42,0
3.13444e+29,1.43508e+09,2.02e+09,0.30,14.50,1.42,0
4.45864e+29,1.41914e+10,5.65e+12,0.33,2.38,1.45,0
2.61832e+29,1.06196e+10,5.33e+12,0.33,3.12,1.71,0
6.63169e+29,6.28246e+09,2.24e+11,0.38,2.71,1.09,0
7.97823e+29,7.55809e+09,3.12e+11,0.37,2.56,1.09,0
2.49252e+29,1.01093e+10,4.63e+12,0.33,3.04,1.68,0
8.14462e+29,4.75171e+09,7.81e+10,0.30,4.96,1.42,0
5.07923e+29,7.81322e+09,9.33e+11,0.35,1.97,1.15,0
2.02249e+29,1.17996e+09,4.78e+09,0.30,11.32,1.42,0
5.68153e+29,1.41914e+10,4.18e+12,0.32,1.91,1.29,0
1.70653e+30,7.81322e+09,8.52e+10,0.30,4.78,1.42,0
1.47040e+30,8.57859e+09,2.52e+11,0.30,3.58,1.42,0
1.11960e+30,8.32347e+09,4.34e+11,0.30,2.83,1.42,0
7.10968e+29,1.39362e+10,3.35e+12,0.32,1.79,1.21,0
7.71305e+28,3.98634e+09,1.39e+12,0.33,3.92,2.02,0
5.08355e+29,2.96583e+09,3.10e+10,0.30,6.49,1.42,0
2.45476e+29,7.81322e+09,1.82e+12,0.33,2.24,1.39,0
9.05969e+29,1.39362e+10,2.81e+12,0.33,1.78,1.16,0
2.03416e+29,2.45558e+09,1.20e+11,0.38,2.29,1.13,0
7.07791e+29,5.26196e+09,1.90e+11,0.30,3.38,1.42,0
7.27003e+29,4.24146e+09,6.25e+10,0.30,5.29,1.42,0
1.81798e+30,8.32347e+09,9.83e+10,0.30,4.59,1.42,0
8.10743e+29,6.02734e+09,2.42e+11,0.30,3.21,1.42,0
2.75730e+29,4.24146e+09,3.42e+11,0.36,2.07,1.16,0
2.29397e+29,4.49659e+09,4.97e+11,0.33,1.92,1.20,0
4.24997e+29,6.53759e+09,6.96e+11,0.36,1.99,1.15,0
6.05438e+28,2.45558e+09,4.02e+11,0.33,3.09,1.63,0
8.57049e+28,3.47608e+09,6.90e+11,0.33,2.96,1.63,0
3.25631e+29,1.03645e+10,3.02e+12,0.33,2.26,1.41,0
4.50874e+28,1.43508e+09,1.26e+11,0.33,2.70,1.44,0
6.39544e+29,3.73121e+09,4.86e+10,0.30,5.69,1.42,0
1.29737e+29,5.26196e+09,1.31e+12,0.33,2.86,1.60,0
6.01964e+28,1.17996e+09,5.65e+10,0.34,2.24,1.22,0
3.66931e+29,3.47608e+09,8.09e+10,0.38,3.24,1.10,0
6.90100e+29,6.53759e+09,2.41e+11,0.38,2.68,1.09,0
7.59231e+29,3.47608e+09,1.45e+10,0.30,8.06,1.42,0
1.63435e+30,1.21504e+10,8.70e+11,0.30,2.45,1.42,0
2.00450e+29,5.00684e+09,7.21e+11,0.33,2.05,1.29,0
2.82100e+30,1.29157e+10,2.72e+11,0.30,3.47,1.42,0
1.39166e+29,3.47608e+09,3.96e+11,0.33,2.13,1.29,0
3.30221e+29,3.98634e+09,2.64e+11,0.38,2.19,1.12,0
1.18738e+29,2.96583e+09,3.13e+11,0.33,2.18,1.30,0
1.64320e+29,3.22096e+09,2.94e+11,0.33,1.99,1.22,0
8.39628e+29,1.29157e+10,2.48e+12,0.33,1.80,1.15,0
5.02721e+29,9.85422e+09,1.84e+12,0.32,1.83,1.20,0
2.93244e+30,1.34260e+10,2.99e+11,0.30,3.39,1.42,0
1.09212e+29,3.47608e+09,4.96e+11,0.33,2.43,1.41,0
1.87370e+30,8.57859e+09,1.05e+11,0.30,4.50,1.42,0
3.58656e+29,5.51709e+09,5.29e+11,0.36,2.03,1.16,0
2.45978e+29,1.43508e+09,7.20e+09,0.30,10.01,1.42,0
7.42109e+29,5.51709e+09,2.07e+11,0.30,3.32,1.42,0
1.73769e+29,7.04784e+09,2.15e+12,0.33,2.83,1.60,0
1.86397e+30,1.08747e+10,4.08e+11,0.30,3.15,1.42,0
1.25243e+29,3.98634e+09,6.21e+11,0.33,2.39,1.41,0
7.03508e+29,3.22096e+09,1.23e+10,0.30,8.47,1.42,0
2.86139e+29,2.71071e+09,5.18e+10,0.38,3.51,1.10,0
1.26074e+30,5.77221e+09,4.36e+10,0.30,5.80,1.42,0
5.82377e+29,5.51709e+09,1.78e+11,0.38,2.83,1.09,0
3.27033e+28,1.69021e+09,3.58e+11,0.33,4.16,2.06,0
7.67067e+28,1.17996e+09,4.10e+10,0.37,2.43,1.16,0
7.23531e+29,1.11298e+10,1.67e+12,0.35,1.94,1.15,0
1.04576e+29,4.24146e+09,9.33e+11,0.33,2.92,1.61,0
1.41723e+30,1.34260e+10,8.96e+11,0.37,2.13,1.09,0
1.21558e+29,6.28246e+09,3.59e+12,0.33,4.21,2.16,0
9.82329e+29,7.30297e+09,3.42e+11,0.30,2.98,1.42,0
1.98930e+29,8.06834e+09,2.81e+12,0.33,2.90,1.63,0
7.21941e+28,3.73121e+09,1.23e+12,0.33,3.91,2.01,0
2.28306e+28,1.17996e+09,1.99e+11,0.33,4.20,2.05,0
4.75124e+28,2.45558e+09,6.25e+11,0.33,4.01,2.02,0
1.09877e+29,1.69021e+09,7.46e+10,0.36,2.33,1.17,0
1.33644e+30,1.26606e+10,8.03e+11,0.37,2.17,1.09,0
