#Planet: 0.8000 Mjup, 1.5000 Rjup, 0.050 au 
#Star: 1.000 Msun, 1.778 Lsun 
#Spectrum: 1096 ergs/s/cm2, scaled-solar, [0.600,91.200] nm
#Tutorial example planet w/ 10xZ_solar H,He,C,O. Scaled solar spectrum.
r,r/Rp,v,T,rho,heat_ion
11771143583.0,1.098,4.79190e+02,2.91474e+03,5.07993e-14,7.20950e-08
11774133454.5,1.098,4.90788e+02,2.95390e+03,4.95736e-14,7.20739e-08
11777123326.1,1.098,5.02505e+02,2.99306e+03,4.83931e-14,7.20429e-08
11780113197.6,1.099,5.14339e+02,3.03223e+03,4.72556e-14,7.20026e-08
11783103069.1,1.099,5.26289e+02,3.07139e+03,4.61592e-14,7.19536e-08
11786092940.7,1.099,5.38352e+02,3.11055e+03,4.51020e-14,7.18963e-08
11789082812.2,1.099,5.50528e+02,3.14968e+03,4.40822e-14,7.18312e-08
11792072683.7,1.100,5.62814e+02,3.18879e+03,4.30980e-14,7.17586e-08
11795062555.3,1.100,5.75208e+02,3.22788e+03,4.21479e-14,7.16791e-08
11798052426.8,1.100,5.87710e+02,3.26693e+03,4.12304e-14,7.15930e-08
11801042298.3,1.100,6.00319e+02,3.30594e+03,4.03440e-14,7.15007e-08
11804032169.9,1.101,6.13031e+02,3.34491e+03,3.94874e-14,7.14026e-08
11807022041.4,1.101,6.25846e+02,3.38383e+03,3.86593e-14,7.12989e-08
11810011912.9,1.101,6.38763e+02,3.42270e+03,3.78583e-14,7.11900e-08
11813001784.5,1.102,6.51780e+02,3.46152e+03,3.70834e-14,7.10762e-08
11815991656.0,1.102,6.64896e+02,3.50027e+03,3.63335e-14,7.09577e-08
11818981527.5,1.102,6.78109e+02,3.53897e+03,3.56075e-14,7.08350e-08
11821971399.1,1.102,6.91419e+02,3.57760e+03,3.49044e-14,7.07082e-08
11824961270.6,1.103,7.04823e+02,3.61616e+03,3.42233e-14,7.05775e-08
11827951142.1,1.103,7.18321e+02,3.65465e+03,3.35633e-14,7.04432e-08
11830941013.7,1.103,7.31912e+02,3.69306e+03,3.29234e-14,7.03056e-08
11833930885.2,1.104,7.45593e+02,3.73140e+03,3.23029e-14,7.01648e-08
11836920756.7,1.104,7.59365e+02,3.76966e+03,3.17011e-14,7.00210e-08
11839910628.3,1.104,7.73225e+02,3.80784e+03,3.11171e-14,6.98745e-08
11842900499.8,1.104,7.87173e+02,3.84593e+03,3.05503e-14,6.97254e-08
11845890371.3,1.105,8.01208e+02,3.88394e+03,3.00000e-14,6.95738e-08
